  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    exponentialLambdaDepartures    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
          251         59164      62.264       -0.397884        98.4768  5.94166e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.5                0.1               3
          251         59185      63.5795      -0.395244        98.7956  5.94376e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.5                0.05              3
          251         59565      63.5327      -0.397794        98.9246  5.98176e+06               500                     1            0.0001                      0.001                           1000            0.01                 0.5                0.1               3
          251         59702      63.8031      -0.398755        98.8833  5.99546e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.7                0.1               3
          251         59713      59.7615      -0.399297        98.8192  5.99656e+06               500                     1            0.0001                      0.01                            1000           10                    0.5                0.1               3
          251         60002      62.2489      -0.399676        98.8514  6.02546e+06               500                     1            0.0001                      0.001                           1000          100                    0.7                0                 3
          251         60380      62.9839      -0.400747        98.054   6.06326e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.3                0.05              3
          251         60849      59.9815      -0.399856        98.6283  6.11016e+06               500                     1            0.0001                      0.01                            1000           10                    0.5                0                 3
          251         60940      63.9596      -0.402998        98.5621  6.11926e+06               500                     1            0.0001                      0.001                           1000          100                    0.3                0                 3
          251         61192      62.7353      -0.397982        98.6762  6.14446e+06               500                     1            0.0001                      0.001                           1000            0.01                 0.7                0                 3
          251         61244      63.1657      -0.401192        98.5401  6.14966e+06               500                     1            0.0001                      0.001                           1000           10                    0.3                0.1               3
          251         61488      63.2289      -0.401537        98.6947  6.17406e+06               500                     1            0.0001                      0.001                           1000           10                    0.5                0.05              3
          251         61515      63.7992      -0.401075        97.9901  6.17676e+06               500                     1            0.0001                      0.001                           1000           10                    0.3                0                 3
          251         61860      62.103       -0.397818        98.7415  6.21126e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.7                0.05              3
          251         62120      63.3136      -0.402749        98.5228  6.23726e+06               500                     1            0.0001                      0.001                           1000          100                    0.7                0.05              3
          251         62773      63.4478      -0.401502        98.4898  6.30256e+06               500                     1            0.0001                      0.001                           1000          100                    0.3                0.05              3
          251         63557     131.295       -0.398677       210.682   6.38114e+06              1000                     1            0.0001                      0.01                            1000          100                    0.3                0.1               5
          251         63662      62.6806      -0.400343        98.3046  6.39146e+06               500                     1            0.0001                      0.001                           1000          100                    0.7                0.1               3
          251         65614     129.7         -0.398791       211.059   6.58684e+06              1000                     1            0.0001                      0.01                            1000          100                    0.7                0.1               5
          251         65920      63.8116      -0.403052        98.799   6.61726e+06               500                     1            0.0001                      0.001                           1000           10                    0.5                0                 3
          251         66177     132.436       -0.401207       210.336   6.64314e+06              1000                     1            0.0001                      0.001                           1000          100                    0.7                0.05              5
          251         67294     131.339       -0.399792       211.128   6.75484e+06              1000                     1            0.0001                      0.01                            1000           10                    0.3                0                 5
          251         67550     130.678       -0.401686       211.166   6.78044e+06              1000                     1            0.0001                      0.01                            1000           10                    0.3                0.05              5
          251         68390     133.201       -0.396232       211.063   6.86444e+06              1000                     1            0.0001                      0.001                           1000            0.1                  0.7                0.05              5
          251         68874     131.201       -0.398298       210.307   6.91284e+06              1000                     1            0.0001                      0.01                            1000          100                    0.3                0.05              5
          251         69026     130.709       -0.401075       211.274   6.92804e+06              1000                     1            0.0001                      0.01                            1000          100                    0.5                0.05              5
          251         69363     130.551       -0.399972       210.818   6.96174e+06              1000                     1            0.0001                      0.01                            1000           10                    0.3                0.1               5
          251         69384     130.603       -0.401265       211.212   6.96384e+06              1000                     1            0.0001                      0.01                            1000          100                    0.5                0.1               5
          251         69399     130.587       -0.401543       210.79    6.96534e+06              1000                     1            0.0001                      0.01                            1000          100                    0.3                0                 5
          251         69694     131.321       -0.398101       211.012   6.99484e+06              1000                     1            0.0001                      0.01                            1000            0.1                  0.7                0.05              5
          251         69786     130.667       -0.40114        210.928   7.00404e+06              1000                     1            0.0001                      0.01                            1000           10                    0.5                0                 5
          251         69862     130.308       -0.399973       211.523   7.01164e+06              1000                     1            0.0001                      0.01                            1000          100                    0.7                0.05              5
          251         70214     129.82        -0.399504       210.648   7.04684e+06              1000                     1            0.0001                      0.01                            1000            0.1                  0.7                0.1               5
          251         70450     131.614       -0.401493       211.008   7.07044e+06              1000                     1            0.0001                      0.01                            1000          100                    0.5                0                 5
          251         70949     129.561       -0.399632       211.027   7.12034e+06              1000                     1            0.0001                      0.01                            1000           10                    0.5                0.1               5
          251         71118     130.973       -0.400079       210.452   7.13724e+06              1000                     1            0.0001                      0.01                            1000          100                    0.7                0                 5
          251         71274     133.253       -0.39835        210.776   7.15284e+06              1000                     1            0.0001                      0.001                           1000            0.1                  0.7                0                 5
          251         72074     130.866       -0.402341       210.461   7.23284e+06              1000                     1            0.0001                      0.01                            1000           10                    0.5                0.05              5
          251         76207     130.893       -0.39943        211.153   7.64614e+06              1000                     1            0.0001                      0.01                            1000            0.1                  0.7                0                 5
          251        112993      70.8641      -0.39429         85.4281  1.13246e+07               500                     5            0.0001                      0.1                             1000          100                    0.3                0.1               1
          251        117164      71.0039      -0.394233        84.8145  1.17417e+07               500                     5            0.0001                      0.1                             1000          100                    0.5                0                 1
          251        117629      70.8906      -0.394429        84.3845  1.17882e+07               500                     5            0.0001                      0.1                             1000          100                    0.5                0.05              1
          251        125616     120.579       -0.399386       205.558   1.2587e+07               1000                     1            0.0001                      0.01                            1000           10                    0.7                0.05              3
          251        130484     119.992       -0.39898        204.962   1.30738e+07              1000                     1            0.0001                      0.01                            1000           10                    0.3                0.1               3
          251        131975     119.426       -0.398804       204.472   1.32229e+07              1000                     1            0.0001                      0.01                            1000          100                    0.5                0.1               3
          251        132254     119.937       -0.399445       204.05    1.32508e+07              1000                     1            0.0001                      0.01                            1000            0.1                  0.7                0.1               3
          251        132910     120.393       -0.399363       203.491   1.33164e+07              1000                     1            0.0001                      0.01                            1000           10                    0.5                0                 3
