  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
          300        111484      91.6772      -0.383714       182.673   1.11787e+07              1000                     3            0.0001                      0.1              0.01                 0.5                0                 2
          300        111507      91.1682      -0.38378        191.344   1.1181e+07               1000                     3            0.0001                      0.1              1                    0.3                0.05              2
          300        111524     111.281       -0.39341        191.215   1.11827e+07              1000                     3            0.0001                      0.01           100                    0.3                0                 2
          300        111682     115.075       -0.393889       212.389   1.11985e+07              1000                     1            0.0001                      0.001          100                    0.3                0                 2
          300        111771      92.9376      -0.3836         188.457   1.12074e+07              1000                     3            0.0001                      0.1              0.1                  0.3                0                 2
          300        111893      91.4326      -0.383342       193.068   1.12196e+07              1000                     3            0.0001                      0.1              0.01                 0.5                0.1               2
          300        112142     118.223       -0.397758       205.341   1.12445e+07              1000                     1            0.0001                      0.01             0.1                  0.5                0                 2
          300        112246     113.278       -0.394553       201.961   1.12549e+07              1000                     1            0.0001                      0.01             0.01                 0.5                0                 2
          300        112422     119.409       -0.398194       195.255   1.12725e+07              1000                     3            0.0001                      0.001            0.1                  0.3                0.05              2
          300        112466     125.607       -0.398327       204.247   1.12769e+07              1000                     1            0.0001                      0.001            0.01                 0.7                0.1               2
          300        112497      91.2402      -0.383646       184.194   1.128e+07                1000                     3            0.0001                      0.1            100                    0.7                0.05              2
          300        112526     118.184       -0.39746        197.629   1.12829e+07              1000                     3            0.0001                      0.001            0.1                  0.3                0                 2
          300        112556      90.8726      -0.382579       189.481   1.12859e+07              1000                     3            0.0001                      0.1            100                    0.7                0                 2
          300        112573     113.691       -0.393083       210.681   1.12876e+07              1000                     1            0.0001                      0.01           100                    0.3                0                 2
          300        112573     116.537       -0.392193       195.349   1.12876e+07              1000                     3            0.0001                      0.01             1                    0.5                0                 2
          300        112642     114.155       -0.394825       205.267   1.12945e+07              1000                     1            0.0001                      0.01             0.01                 0.5                0.1               2
          300        112657     114.645       -0.394882       200.345   1.1296e+07               1000                     3            0.0001                      0.01           100                    0.5                0.05              2
          300        112673      91.7231      -0.383225       190.217   1.12976e+07              1000                     3            0.0001                      0.1            100                    0.5                0.05              2
          300        112721      90.8149      -0.383167       194.066   1.13024e+07              1000                     3            0.0001                      0.1              0.1                  0.5                0.1               2
          300        112786      91.5256      -0.383283       190.748   1.13089e+07              1000                     3            0.0001                      0.1              1                    0.3                0.1               2
          300        112806     118.191       -0.393522       189.5     1.13109e+07              1000                     3            0.0001                      0.01            10                    0.5                0.05              2
          300        112807      91.5757      -0.384146       191.966   1.1311e+07               1000                     3            0.0001                      0.1              1                    0.5                0                 2
          300        112915      91.9297      -0.383568       188.192   1.13218e+07              1000                     3            0.0001                      0.1             10                    0.5                0.05              2
          300        112989     116.226       -0.394701       204.424   1.13292e+07              1000                     1            0.0001                      0.001            0.1                  0.7                0.1               2
          300        113039     117.557       -0.393593       205.463   1.13342e+07              1000                     1            0.0001                      0.001            0.01                 0.7                0.05              2
          300        113057      90.7473      -0.383069       182.547   1.1336e+07               1000                     3            0.0001                      0.1            100                    0.3                0.05              2
          300        113137     114.331       -0.393943       204.798   1.1344e+07               1000                     1            0.0001                      0.01             0.1                  0.7                0                 2
          300        113162     117.229       -0.395777       196.209   1.13465e+07              1000                     3            0.0001                      0.01             1                    0.7                0.1               2
          300        113220      92.2404      -0.384239       176.353   1.13523e+07              1000                     3            0.0001                      0.1             10                    0.3                0.05              2
          300        113234     118.687       -0.397936       196.86    1.13537e+07              1000                     3            0.0001                      0.01             1                    0.7                0                 2
          300        113349     117.701       -0.403833       204.191   1.13652e+07              1000                     1            0.0001                      0.001           10                    0.5                0.05              2
          300        113361     120.2         -0.396145       189.385   1.13664e+07              1000                     3            0.0001                      0.01             1                    0.3                0.1               2
          300        113438     112.406       -0.389444       207.43    1.13741e+07              1000                     1            0.0001                      0.01             0.1                  0.5                0.1               2
