  numStat    runDownBat    travDur    battDiff    waitTime    numFinish    numNotFinish    numUsedStat    notFinis    bestLoss    numStations    kMeansNumIterationsOneRun    kMeansNumGenerations
     2000          2130   103.484    -0.497367     7.1181         91283            2495           1020        4625      413007           2000                           20                       8
     2000          2039   103.604    -0.49744      7.1148         90520            2459            984        4498      403907           2000                           50                       2
     4000          1456   104.521    -0.497455     5.75316        91981            2655           1356        4111      545605           4000                           50                       8
     4000          1478   104.468    -0.497431     5.72179        92006            2618           1357        4096      547805           4000                           50                       4
     4000          1422   104.576    -0.497413     5.668          91986            2579           1349        4001      542205           4000                           50                       2
     4000          1422   104.606    -0.497401     5.64528        91922            2589           1344        4011      542205           4000                           20                       8
     4000          1487   104.489    -0.497431     5.66398        92031            2613           1370        4100      548705           4000                           20                       2
     4000          1427   104.611    -0.497434     5.65468        92082            2558           1363        3985      542705           4000                           10                       8
     4000          1470   104.514    -0.49744      5.8005         91731            2570           1332        4040      547005           4000                           10                       4
     4000          1466   104.456    -0.497385     5.62414        91578            2604           1333        4070      546605           4000                           10                       2
     4000          1518   104.492    -0.497426     5.72654        92738            2626           1361        4144      551805           4000                          100                       8
     4000          1472   104.532    -0.497455     5.64531        92225            2614           1374        4086      547205           4000                          100                       4
     4000          1408   104.582    -0.497408     5.75442        91543            2509           1319        3917      540805           4000                          100                       2
     4000          1487   104.423    -0.497405     5.76097        91316            2634           1326        4121      548705           4000                           20                       4
