city_id lat lon population
0 49.39606475830078 15.590306282043457 51216 
1 49.70147705078125 17.07569122314453 7516 
2 51.02574920654297 15.061005592346191 4259 
3 49.74774169921875 13.377525329589844 174842 
4 48.772926330566406 14.986175537109375 5088 
5 49.143470764160156 13.556057929992676 1462 
6 49.14052963256836 13.515168190002441 254 
7 50.49231719970703 13.032119750976562 3268 
8 50.85222244262695 14.843667030334473 6146 
9 50.92167663574219 15.079459190368652 6789 
10 48.85368347167969 15.85856819152832 233 
11 50.097049713134766 12.223283767700195 1531 
12 50.419376373291016 12.970961570739746 1750 
13 49.69595718383789 15.813602447509766 3126 
14 49.74029541015625 15.106074333190918 4758 
15 50.738468170166016 15.246339797973633 3430 
16 50.42902755737305 15.582763671875 2744 
17 49.09130859375 18.022768020629883 3429 
18 49.20882797241211 17.53538703918457 19261 
19 49.33357620239258 13.549610137939453 1163 
20 49.38992691040039 13.471059799194336 1651 
21 48.84258270263672 14.639185905456543 5132 
22 50.4420051574707 16.24163055419922 10241 
23 50.76013946533203 15.302786827087402 1146 
24 50.1361198425293 14.985974311828613 3059 
25 49.48135757446289 13.284173011779785 1689 
26 50.11793518066406 16.290372848510742 4123 
27 49.48589324951172 13.582317352294922 3696 
28 48.88039779663086 17.183300018310547 3371 
29 49.075679779052734 17.43919563293457 6691 
30 50.35810470581055 12.46789264678955 9078 
31 49.90724182128906 12.971104621887207 938 
32 49.95699691772461 14.319308280944824 4631 
33 49.9475212097168 14.039535522460938 9995 
34 50.12095260620117 17.38315773010254 4856 
35 50.531063079833984 15.372880935668945 5711 
36 50.621498107910156 13.600032806396484 4969 
37 50.59327697753906 13.657288551330566 2641 
38 49.677921295166016 18.671199798583984 30012 
39 48.90204620361328 17.70649528503418 2483 
40 49.63248825073242 16.711843490600586 2760 
41 49.557701110839844 16.422330856323242 1768 
42 48.984107971191406 17.095048904418945 1922 
43 49.876792907714844 17.082660675048828 2755 
44 49.004337310791016 17.43631935119629 3348 
45 50.38471984863281 13.171213150024414 15398 
46 50.58577346801758 14.804062843322754 2137 
47 48.98747634887695 15.989691734313965 1172 
48 50.27107238769531 14.327737808227539 2111 
