  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    numClosestStations    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance
          300        631702     118.439       -0.34434         201.33   6.32005e+07                     1                      0.001            1                    0.7                0.1
          300        631773     113.905       -0.345409        183.355  6.32076e+07                     5                      0.01             1                    0.5                0
          300        632111     124.453       -0.345352        200.313  6.32414e+07                     1                      0.001            1                    0.7                0.05
          300        632189     114.835       -0.344303        204.681  6.32492e+07                     1                      0.01             1                    0.7                0.05
          300        632359     113.397       -0.346204        181.777  6.32662e+07                     5                      0.01             1                    0.7                0.1
          300        632411     122.357       -0.34562         181.539  6.32714e+07                     5                      0.001            1                    0.7                0.05
          300        632430      82.8968      -0.342709        178.484  6.32733e+07                     5                      0.1            100                    0.3                0
          300        632553     119.284       -0.347           200.856  6.32856e+07                     1                      0.001            0.01                 0.5                0.1
          300        632876     116.368       -0.34719         184.88   6.33179e+07                     5                      0.01             0.01                 0.3                0.05
          300        632919     119.98        -0.346219        188.643  6.33222e+07                     5                      0.001          100                    0.3                0.1
          300        633020     119.699       -0.346283        183.79   6.33323e+07                     5                      0.001          100                    0.5                0.05
          300        633027      82.6812      -0.344169        172.175  6.3333e+07                      5                      0.1            100                    0.7                0.05
          300        633116     115.127       -0.343434        180.4    6.33419e+07                     5                      0.01             0.01                 0.3                0
          300        633191     120.091       -0.346324        189.534  6.33494e+07                     5                      0.001            1                    0.3                0.05
          300        633271     120.333       -0.345229        186.944  6.33574e+07                     5                      0.001            1                    0.7                0
          300        633318      83.3514      -0.343038        177.694  6.33621e+07                     5                      0.1              1                    0.5                0
          300        633338     113.214       -0.345657        198.083  6.33641e+07                     1                      0.01             0.01                 0.3                0.1
          300        633494     124.336       -0.345328        198.806  6.33797e+07                     1                      0.001            1                    0.7                0
          300        634149      82.626       -0.343726        193.926  6.34452e+07                     1                      0.1              0.01                 0.7                0
          300        634367     111.716       -0.346953        201.449  6.3467e+07                      1                      0.01           100                    0.5                0.1
          300        634483      81.6335      -0.343649        179.711  6.34786e+07                     5                      0.1              0.01                 0.3                0.1
          300        634539     120.092       -0.342619        186.69   6.34842e+07                     5                      0.01             1                    0.7                0.05
          300        635110     113.92        -0.346653        182.274  6.35413e+07                     5                      0.01           100                    0.5                0.1
          300        635120     120.159       -0.346353        196.676  6.35423e+07                     1                      0.001            0.01                 0.7                0.1
          300        635334     125.88        -0.343855        201.671  6.35637e+07                     1                      0.001            1                    0.5                0
