  numStat    runDownBat    travDur    battDiff    waitTime    numFinish    numNotFinish    numUsedStat    numStatsCust    notFinis    bestLoss    numStations    geneticNumGenerations    geneticNumBestSelection    geneticTournamentSelectionTreshold    geneticMutationTreshold
      502          3144    102.188   -0.497373    10.4331         90347            2181            402           25208        5325      364610            500                       10                          0                                   0.7                     0.01
      502          3323    101.554   -0.497388    12.5844         89096            2219            411           26630        5542      382512            500                       20                          4                                   0.9                     0.01
      502          3155    101.736   -0.497527    10.329          89032            2112            397           23162        5267      365710            500                       10                          4                                   0.9                     0.001
      502          3059    102.13    -0.497428     9.10863        89224            2182            404           26764        5241      356109            500                       20                          4                                   0.7                     0.001
      503          3337    101.544   -0.497394    11.4031         89175            2186            402           25868        5523      384011            500                       20                          0                                   0.9                     0.001
      503          3150    101.882   -0.497469     9.49831        89810            2198            408           25194        5348      365309            500                       10                          0                                   0.9                     0.001
      503          3124    102.28    -0.497383     9.63509        88979            2187            399           26770        5311      362709            500                       10                          0                                   0.9                     0.0001
      503          3190    101.775   -0.49741     10.8195         88514            2165            394           26534        5355      369310            500                       20                          4                                   0.7                     0.0001
      503          3100    102.117   -0.497425     8.72064        88795            2233            405           26590        5333      360308            500                       10                          0                                   0.7                     0.001
      503          3171    101.818   -0.49742      8.33249        89094            2196            409           27670        5367      367408            500                       10                          0                                   0.7                     0.0001
      503          3063    101.673   -0.497351     9.57502        89556            2195            398           27748        5258      356609            500                       20                          0                                   0.9                     0.0001
      503          3231    101.417   -0.497409    10.655          89132            2177            408           23672        5408      373410            500                       20                          0                                   0.7                     0.0001
      507          3083    101.558   -0.497467     8.89347        88601            2176            400           27914        5259      359008            500                       10                          4                                   0.7                     0.001
      507          3106    101.553   -0.497444     7.96622        89234            2171            404           29308        5277      361308            500                       10                          4                                   0.7                     0.0001
      507          3154    101.963   -0.497422     4.18809        89363            2130            411           25144        5284      366104            500                       10                          4                                   0.9                     0.0001
      515          3223    101.701   -0.497392     8.09357        88740            2167            417           26938        5390      373808            500                       20                          4                                   0.7                     0.01
      515          3231    101.455   -0.497469     8.75649        89871            2195            417           25826        5426      374608            500                       20                          4                                   0.9                     0.0001
      515          3083    102.118   -0.49742      9.02577        88610            2125            416           25908        5208      359809            500                       10                          4                                   0.7                     0.01
      515          3147    102.201   -0.49743      9.3034         88944            2117            415           24762        5264      366209            500                       20                          0                                   0.7                     0.01
      515          3137    102.234   -0.497417     9.08882        89443            2148            416           24776        5285      365209            500                       10                          4                                   0.9                     0.01
      695          2891    102.333   -0.497417     7.48836        89148            2177            524           32870        5068      358607            700                       10                          4                                   0.7                     0.001
      695          3100    102.23    -0.497418     8.03058        89489            2300            534           33898        5400      379508            700                       20                          4                                   0.9                     0.0001
      695          2811    102.21    -0.497477     8.46304        89841            2173            503           29854        4984      350608            700                       20                          4                                   0.9                     0.001
      695          2892    102.52    -0.497497     8.6953         89657            2268            509           30470        5160      358708            700                       10                          4                                   0.9                     0.01
      695          2918    102.538   -0.497373     9.06977        89558            2250            518           35982        5168      361309            700                       20                          4                                   0.7                     0.0001
      695          2873    102.45    -0.497393     9.99314        90255            2211            521           28968        5084      356810            700                       10                          4                                   0.7                     0.0001
      700          3043    102.393   -0.49747      7.47431        89244            2159            536           29860        5202      374307            700                       20                          0                                   0.9                     0.01
      700          2884    101.962   -0.497412     8.94625        89834            2296            533           30708        5180      358409            700                       10                          0                                   0.9                     0.01
      700          2867    102.937   -0.497387     9.42632        89343            2300            532           34528        5167      356709            700                       10                          0                                   0.9                     0.001
      700          2897    102.042   -0.497433     9.83787        89484            2251            511           31024        5148      359709            700                       20                          0                                   0.7                     0.0001
      700          2910    101.787   -0.497448     9.44412        88635            2305            511           32570        5215      361009            700                       10                          4                                   0.9                     0.0001
      700          2851    102.342   -0.497418     7.84887        90047            2246            540           30740        5097      355107            700                       20                          0                                   0.9                     0.001
      701          2822    102.355   -0.497465     8.64523        89885            2165            507           31618        4987      352308            700                       20                          0                                   0.7                     0.001
      701          2913    102.576   -0.497356     7.31741        89209            2241            521           34570        5154      361407            700                       10                          4                                   0.7                     0.01
      701          2886    102.279   -0.497449     7.86307        89555            2240            513           32692        5126      358707            700                       10                          0                                   0.7                     0.001
      701          2869    102.128   -0.49742      8.94443        89310            2195            524           32890        5064      357009            700                       20                          4                                   0.9                     0.01
      702          3067    102.336   -0.497422     8.83667        89605            2240            536           31408        5307      376908            700                       20                          4                                   0.7                     0.001
      702          2856    102.768   -0.497458     8.70835        89715            2324            529           31942        5180      355808            700                       10                          4                                   0.9                     0.001
      703          3012    101.926   -0.497435     9.76789        89743            2242            518           33814        5254      371509            700                       20                          0                                   0.7                     0.01
      703          2897    102.378   -0.497432     8.83337        89557            2208            536           35346        5105      360008            700                       10                          0                                   0.7                     0.01
      703          2823    102.251   -0.497384     9.0205         89439            2260            529           31094        5083      352609            700                       20                          4                                   0.7                     0.01
      705          2896    102.058   -0.497461     7.46649        88924            2216            538           32384        5112      360107            700                       10                          0                                   0.9                     0.0001
      707          2934    102.127   -0.49734      9.07718        89309            2243            517           30686        5177      364109            700                       20                          0                                   0.9                     0.0001
      715          2909    102.248   -0.497433     8.2075         89066            2303            538           31524        5212      362408            700                       10                          0                                   0.7                     0.0001
      995          2529    103.154   -0.497401     4.60611        90311            2249            664           35270        4778      352404           1000                       20                          4                                   0.7                     0.0001
      995          2585    102.594   -0.497427     4.66843        89641            2296            648           37994        4881      358004           1000                       10                          0                                   0.9                     0.0001
      995          2549    102.821   -0.497433     4.90371        90451            2247            650           31718        4796      354405           1000                       10                          0                                   0.7                     0.01
      995          2560    102.768   -0.49745      3.40394        90068            2204            646           33160        4764      355503           1000                       10                          0                                   0.7                     0.001
     1000          2530    103.152   -0.497502     5.87259        89761            2282            636           35268        4812      353005           1000                       10                          0                                   0.9                     0.001
     1000          2509    103.555   -0.497386     5.00695        90184            2311            662           39278        4820      350905           1000                       10                          0                                   0.9                     0.01
     1000          2566    102.592   -0.4974       4.75579        89964            2269            659           33630        4835      356604           1000                       10                          4                                   0.9                     0.0001
     1000          2557    103.087   -0.497424     5.38451        90770            2270            666           34748        4827      355705           1000                       10                          4                                   0.9                     0.001
     1000          2738    102.854   -0.497389     3.79662        90087            2247            660           34566        4985      373803           1000                       20                          4                                   0.9                     0.01
     1001          2485    103.197   -0.49745      4.61707        89980            2329            663           35972        4814      348604           1000                       20                          4                                   0.9                     0.001
     1001          2684    103.147   -0.497357     4.97624        90647            2246            662           35134        4930      368505           1000                       20                          0                                   0.7                     0.01
     1001          2704    102.964   -0.497454     4.89804        89867            2142            644           34388        4846      370505           1000                       20                          0                                   0.7                     0.001
     1003          2588    103.197   -0.497408     4.56383        89938            2259            647           34708        4847      359104           1000                       10                          4                                   0.7                     0.001
     1003          2523    103.43    -0.497392     6.84249        90184            2260            675           34782        4783      352606           1000                       10                          4                                   0.9                     0.01
     1005          2645    103.02    -0.497441     5.37003        89645            2175            648           37954        4820      365005           1000                       20                          4                                   0.9                     0.0001
     1005          2512    102.915   -0.497388     7.44131        90160            2237            651           30396        4749      351707           1000                       20                          4                                   0.7                     0.01
     1005          2573    102.661   -0.497451     5.63284        90245            2302            668           34396        4875      357805           1000                       20                          0                                   0.9                     0.01
     1005          2557    102.554   -0.497456     4.71088        89826            2192            657           31738        4749      356204           1000                       10                          0                                   0.7                     0.0001
     1005          2505    102.902   -0.497428     5.8723         90134            2263            658           33574        4768      351005           1000                       20                          0                                   0.7                     0.0001
     1005          2497    102.991   -0.497401     4.77269        90306            2272            655           34186        4769      350204           1000                       10                          4                                   0.7                     0.01
     1005          2542    102.901   -0.497431     5.16562        90445            2338            664           34612        4880      354705           1000                       10                          4                                   0.7                     0.0001
     1005          2719    102.839   -0.49738      4.8092         89858            2331            665           38804        5050      372404           1000                       20                          0                                   0.9                     0.001
     1007          2528    102.58    -0.497479     6.45747        90407            2359            653           34404        4887      353506           1000                       20                          0                                   0.9                     0.0001
     1015          2607    102.728   -0.497399     5.25153        90085            2242            669           33172        4849      362205           1000                       20                          4                                   0.7                     0.001
     1974          1902    103.813   -0.497389     3.74863        91153            2301            980           41716        4203      387603           2000                       20                          0                                   0.7                     0.0001
     1995          1899    104.112   -0.497374     4.11359        91792            2406            966           44688        4305      389404           2000                       20                          0                                   0.7                     0.01
     1995          2049    103.834   -0.497344     4.58184        90885            2294            972           40356        4343      404404           2000                       20                          0                                   0.9                     0.0001
     1995          1889    104.25    -0.497519     4.61923        91132            2443            989           46170        4332      388404           2000                       10                          0                                   0.7                     0.001
